time	V(vc)
1.264467900427990e-03	5.866660e+00
1.264468605142412e-03	5.866662e+00
1.264469327495726e-03	5.866663e+00
1.264470431375452e-03	5.866665e+00
1.264471554313340e-03	5.866667e+00
1.264473063742484e-03	5.866670e+00
1.264474733377784e-03	5.866673e+00
1.264476802042145e-03	5.866678e+00
1.264479066679360e-03	5.866682e+00
1.264482231351127e-03	5.866688e+00
1.264485739841562e-03	5.866695e+00
1.264489549658272e-03	5.866703e+00
1.264494107841292e-03	5.866711e+00
1.264498450722587e-03	5.866720e+00
1.264505094211918e-03	5.866732e+00
1.264511407969736e-03	5.866745e+00
1.264524035485372e-03	5.866768e+00
1.264536169503984e-03	5.866791e+00
1.264555469127753e-03	5.866827e+00
1.264576400360883e-03	5.866865e+00
1.264605883560721e-03	5.866919e+00
1.264639847598703e-03	5.866979e+00
1.264657012394575e-03	5.867009e+00
1.264671088046559e-03	5.867033e+00
1.264685237123626e-03	5.867056e+00
1.264699045969935e-03	5.867079e+00
1.264716618424590e-03	5.867108e+00
1.264735647136455e-03	5.867138e+00
1.264758505208986e-03	5.867174e+00
1.264787343015393e-03	5.867217e+00
1.264824397926600e-03	5.867270e+00
1.264876259440429e-03	5.867337e+00
1.264953905105071e-03	5.867425e+00
1.265081190374279e-03	5.867536e+00
1.265309304350858e-03	5.867683e+00
1.265321486051470e-03	5.867689e+00
1.265333586332486e-03	5.867693e+00
1.265338227143252e-03	5.867695e+00
1.265342567525473e-03	5.867697e+00
1.265345700552084e-03	5.867698e+00
1.265348223063859e-03	5.867699e+00
1.265350366587861e-03	5.867699e+00
1.265352559676914e-03	5.867700e+00
1.265354590779125e-03	5.867701e+00
1.265356821392136e-03	5.867702e+00
1.265359280708441e-03	5.867702e+00
1.265362167157912e-03	5.867703e+00
1.265365790730149e-03	5.867704e+00
1.265370423110942e-03	5.867706e+00
1.265371203635071e-03	5.867706e+00
1.265372764683332e-03	5.867706e+00
1.265373154945397e-03	5.867706e+00
1.265373935469526e-03	5.867707e+00
1.265374489943817e-03	5.867707e+00
1.265374541510705e-03	5.867707e+00
1.265374644644481e-03	5.867707e+00
1.265374850912033e-03	5.867707e+00
1.265375263447136e-03	5.867707e+00
1.265376088517343e-03	5.867707e+00
1.265377738657755e-03	5.867708e+00
1.265381038938581e-03	5.867709e+00
1.265387639500231e-03	5.867711e+00
1.265400840623531e-03	5.867714e+00
1.265427242870133e-03	5.867721e+00
1.265480047363336e-03	5.867732e+00
1.265585656349742e-03	5.867747e+00
1.265729799927944e-03	5.867760e+00
1.265882710376983e-03	5.867767e+00
1.266049274061338e-03	5.867771e+00
1.266208242902328e-03	5.867774e+00
1.266383799465385e-03	5.867775e+00
1.266642352821168e-03	5.867776e+00
1.267025752042880e-03	5.867778e+00
1.267080212120570e-03	5.867778e+00
1.267189132275949e-03	5.867778e+00
1.267266237493546e-03	5.867778e+00
1.267338269546340e-03	5.867777e+00
1.267404195099180e-03	5.867776e+00
1.267472223356957e-03	5.867774e+00
1.267512143551524e-03	5.867774e+00
1.267533055686350e-03	5.867773e+00
1.267544069323253e-03	5.867773e+00
1.267550774721733e-03	5.867773e+00
1.267557216549183e-03	5.867773e+00
1.267564235734606e-03	5.867773e+00
1.267578274105451e-03	5.867772e+00
1.267591656684080e-03	5.867769e+00
1.267605064831673e-03	5.867763e+00
1.267615209293890e-03	5.867757e+00
1.267626258121827e-03	5.867749e+00
1.267640561353085e-03	5.867737e+00
