time	V(a)	V(b)	V(vc)	V(vr)	V(vs)
2.571698960304331e-07	5.865170e+00	4.264937e+00	1.064810e-03	1.489556e+01	1.312917e-01
2.796718682279214e-07	5.865170e+00	4.264937e+00	1.110503e-03	1.489707e+01	1.291350e-01
2.959628309180941e-07	5.865170e+00	4.264937e+00	1.143645e-03	1.489759e+01	1.277290e-01
3.078788318414642e-07	5.865170e+00	4.264937e+00	1.167917e-03	1.489780e+01	1.267805e-01
3.194680786916046e-07	5.865170e+00	4.264937e+00	1.191544e-03	1.489793e+01	1.259180e-01
3.348863169387452e-07	5.865170e+00	4.264937e+00	1.223001e-03	1.489804e+01	1.248391e-01
3.486928879736184e-07	5.865170e+00	4.264937e+00	1.251188e-03	1.489810e+01	1.239299e-01
3.618367727484551e-07	5.865170e+00	4.264937e+00	1.278037e-03	1.489813e+01	1.231159e-01
3.758238691815937e-07	5.865170e+00	4.264937e+00	1.306613e-03	1.489816e+01	1.222971e-01
3.881957633181711e-07	5.865170e+00	4.264937e+00	1.331883e-03	1.489817e+01	1.216085e-01
3.979713098074865e-07	5.865170e+00	4.264937e+00	1.351827e-03	1.489818e+01	1.210890e-01
4.080236573271972e-07	5.865170e+00	4.264937e+00	1.372286e-03	1.489818e+01	1.205777e-01
4.209433562014177e-07	5.865170e+00	4.264937e+00	1.398482e-03	1.489819e+01	1.199491e-01
4.350614334092030e-07	5.865170e+00	4.264937e+00	1.426952e-03	1.489819e+01	1.192991e-01
4.585788541573598e-07	5.865170e+00	4.264937e+00	1.473995e-03	1.489819e+01	1.182971e-01
4.967432018006202e-07	5.865170e+00	4.264937e+00	1.549483e-03	1.489819e+01	1.168410e-01
5.550731584406625e-07	5.865170e+00	4.264937e+00	1.663335e-03	1.489820e+01	1.149067e-01
6.126109047460097e-07	5.865170e+00	4.264937e+00	1.774177e-03	1.489820e+01	1.132710e-01
6.614212363809529e-07	5.865170e+00	4.264937e+00	1.867124e-03	1.489820e+01	1.120834e-01
7.100996020296417e-07	5.865170e+00	4.264937e+00	1.958982e-03	1.489820e+01	1.110565e-01
7.616925296965371e-07	5.865170e+00	4.264937e+00	2.055651e-03	1.489820e+01	1.101023e-01
8.129856502245953e-07	5.865170e+00	4.264937e+00	2.151203e-03	1.489820e+01	1.092678e-01
8.641792986639545e-07	5.865170e+00	4.264937e+00	2.246124e-03	1.489820e+01	1.085330e-01
9.145010953605410e-07	5.865170e+00	4.264937e+00	2.339089e-03	1.489820e+01	1.078932e-01
9.650807895492009e-07	5.865170e+00	4.264937e+00	2.432271e-03	1.489820e+01	1.073218e-01
1.017100120885516e-06	5.865170e+00	4.264937e+00	2.527900e-03	1.489820e+01	1.068020e-01
1.082470848099932e-06	5.865170e+00	4.264937e+00	2.647889e-03	1.489820e+01	1.062298e-01
1.157256261263447e-06	5.865170e+00	4.264937e+00	2.785028e-03	1.489820e+01	1.056674e-01
1.252028685568525e-06	5.865170e+00	4.264937e+00	2.958772e-03	1.489820e+01	1.050722e-01
1.366000657562655e-06	5.865170e+00	4.264937e+00	3.167840e-03	1.489820e+01	1.044966e-01
1.521565420992814e-06	5.865170e+00	4.264937e+00	3.453599e-03	1.489820e+01	1.038854e-01
1.664647283360861e-06	5.865170e+00	4.264937e+00	3.716961e-03	1.489820e+01	1.034575e-01
1.810269469217140e-06	5.865170e+00	4.264937e+00	3.985637e-03	1.489820e+01	1.031304e-01
1.944821353482866e-06	5.865170e+00	4.264937e+00	4.234501e-03	1.489820e+01	1.029004e-01
2.087672834422621e-06	5.865170e+00	4.264937e+00	4.499379e-03	1.489820e+01	1.027137e-01
2.225881620192691e-06	5.865170e+00	4.264937e+00	4.756292e-03	1.489820e+01	1.025750e-01
2.370629266052946e-06	5.865170e+00	4.264937e+00	5.026045e-03	1.489820e+01	1.024638e-01
2.511076301959043e-06	5.865170e+00	4.264937e+00	5.288449e-03	1.489820e+01	1.023810e-01
2.656441738996183e-06	5.865170e+00	4.264937e+00	5.560736e-03	1.489820e+01	1.023155e-01
2.800232652227579e-06	5.865170e+00	4.264937e+00	5.830763e-03	1.489820e+01	1.022660e-01
2.949928786979814e-06	5.865170e+00	4.264937e+00	6.112609e-03	1.489820e+01	1.022268e-01
3.101635808340909e-06	5.865170e+00	4.264937e+00	6.399000e-03	1.489820e+01	1.021968e-01
3.264431445833700e-06	5.865170e+00	4.264937e+00	6.707171e-03	1.489820e+01	1.021727e-01
3.435867758565955e-06	5.865170e+00	4.264937e+00	7.032648e-03	1.489820e+01	1.021541e-01
3.627125361111784e-06	5.865170e+00	4.264937e+00	7.396908e-03	1.489820e+01	1.021392e-01
3.841648912353059e-06	5.865170e+00	4.264937e+00	7.806928e-03	1.489820e+01	1.021278e-01
4.097775906164499e-06	5.865170e+00	4.264937e+00	8.298478e-03	1.489820e+01	1.021189e-01
4.410189321974505e-06	5.865170e+00	4.264937e+00	8.901041e-03	1.489820e+01	1.021124e-01
4.819526664777477e-06	5.865170e+00	4.264937e+00	9.695565e-03	1.489820e+01	1.021079e-01
5.383346473624916e-06	5.865170e+00	4.264937e+00	1.079949e-02	1.489820e+01	1.021053e-01
6.254010044247900e-06	5.865170e+00	4.264937e+00	1.252693e-02	1.489820e+01	1.021040e-01
7.812039113144592e-06	5.865170e+00	4.264937e+00	1.568740e-02	1.489820e+01	1.021036e-01
1.092809725093798e-05	5.865170e+00	4.264937e+00	2.221029e-02	1.489820e+01	1.021036e-01
1.509993800874015e-05	5.865170e+00	4.264937e+00	3.129864e-02	1.489820e+01	1.021036e-01
2.145243561930985e-05	5.865170e+00	4.264937e+00	4.571358e-02	1.489820e+01	1.021036e-01
2.870396230790889e-05	5.865170e+00	4.264937e+00	6.267692e-02	1.489820e+01	1.021036e-01
3.313578475814842e-05	5.865170e+00	4.264937e+00	7.325130e-02	1.489820e+01	1.021036e-01
3.794546409413837e-05	5.865170e+00	4.264937e+00	8.485252e-02	1.489820e+01	1.021036e-01
4.305281740466583e-05	5.865170e+00	4.264937e+00	9.723292e-02	1.489820e+01	1.021036e-01
4.832659155459647e-05	5.865170e+00	4.264937e+00	1.100530e-01	1.489820e+01	1.021036e-01
5.333666975957428e-05	5.865170e+00	4.264937e+00	1.222487e-01	1.489820e+01	1.021036e-01
5.937379105506823e-05	5.865170e+00	4.264937e+00	1.369502e-01	1.489820e+01	1.021036e-01
6.616749194276160e-05	5.865170e+00	4.264937e+00	1.534892e-01	1.489820e+01	1.021036e-01
7.354256776788149e-05	5.865170e+00	4.264937e+00	1.714300e-01	1.489820e+01	1.021036e-01
8.104789318780441e-05	5.865170e+00	4.264937e+00	1.896684e-01	1.489820e+01	1.021036e-01
8.859647011117509e-05	5.865170e+00	4.264937e+00	2.079919e-01	1.489820e+01	1.021036e-01
9.301401807720556e-05	5.865170e+00	4.264937e+00	2.187044e-01	1.489820e+01	1.021036e-01
9.682483286283589e-05	5.865170e+00	4.264937e+00	2.279381e-01	1.489820e+01	1.021036e-01
9.966440629929041e-05	5.865170e+00	4.264937e+00	2.348141e-01	1.489820e+01	1.021036e-01
1.025687357674634e-04	5.865170e+00	4.264937e+00	2.418423e-01	1.489820e+01	1.021036e-01
1.077729814784384e-04	5.865170e+00	4.264937e+00	2.544274e-01	1.489820e+01	1.021036e-01
1.121124769065075e-04	5.865170e+00	4.264937e+00	2.649134e-01	1.489820e+01	1.021036e-01
1.165438200297819e-04	5.865170e+00	4.264937e+00	2.756129e-01	1.489820e+01	1.021036e-01
1.197518847324267e-04	5.865170e+00	4.264937e+00	2.833534e-01	1.489820e+01	1.021036e-01
