time	V(n001)	V(n003)
3.863073740814780e-03	-4.522950e+00	-1.311523e+01
3.865073740814780e-03	-4.602950e+00	-1.311523e+01
3.867073740814781e-03	-4.682950e+00	-1.311523e+01
3.869073740814781e-03	-4.762950e+00	-1.311522e+01
3.871073740814781e-03	-4.842950e+00	-1.311521e+01
3.873073740814781e-03	-4.922950e+00	-1.311519e+01
3.875073740814782e-03	-5.002950e+00	-1.311516e+01
3.877073740814782e-03	-5.082950e+00	-1.310354e+01
3.878073740814782e-03	-5.122950e+00	-1.307068e+01
3.878727603579372e-03	-5.149104e+00	-1.298330e+01
3.879106669270878e-03	-5.164267e+00	-1.274957e+01
3.879382606214361e-03	-5.175304e+00	-1.229252e+01
3.879647823665528e-03	-5.185913e+00	-1.149359e+01
3.880090909363822e-03	-5.203636e+00	-9.492362e+00
3.880693623203213e-03	-5.227745e+00	-5.735343e+00
3.881404167975460e-03	-5.256167e+00	1.334805e-02
3.882404167975460e-03	-5.296167e+00	9.135128e+00
3.882796142124203e-03	-5.311846e+00	1.249460e+01
3.882810137852988e-03	-5.312406e+00	1.257296e+01
3.882838129310556e-03	-5.313525e+00	1.263634e+01
3.882886645684668e-03	-5.315466e+00	1.267163e+01
3.882930071413256e-03	-5.317203e+00	1.267579e+01
3.882977082950435e-03	-5.319083e+00	1.267545e+01
3.999000000400006e-03	-9.960000e+00	1.267545e+01
4.000000000400007e-03	-1.000000e+01	1.267545e+01
4.000100000400007e-03	-9.996000e+00	1.267545e+01
4.000300000400006e-03	-9.988000e+00	1.267545e+01
4.053185714685728e-03	-7.872571e+00	1.267545e+01
4.106071428971449e-03	-5.757143e+00	1.267545e+01
4.158957143257170e-03	-3.641714e+00	1.267545e+01
4.211842857542891e-03	-1.526286e+00	1.267545e+01
4.264728571828613e-03	5.891428e-01	1.267545e+01
4.317614286114334e-03	2.704571e+00	1.267545e+01
4.370500000400055e-03	4.820000e+00	1.267546e+01
4.371357143257198e-03	4.854286e+00	1.267545e+01
4.372214286114342e-03	4.888572e+00	1.267545e+01
4.373071428971484e-03	4.922857e+00	1.267546e+01
4.373928571828627e-03	4.957143e+00	1.267546e+01
4.374785714685770e-03	4.991429e+00	1.267546e+01
4.375642857542913e-03	5.025714e+00	1.267546e+01
4.376500000400056e-03	5.060000e+00	1.267546e+01
4.377500000400056e-03	5.100000e+00	1.267133e+01
4.378347297571844e-03	5.133892e+00	1.250104e+01
4.378776189084482e-03	5.151048e+00	1.205975e+01
4.379217910374975e-03	5.168716e+00	1.107335e+01
4.379681995010968e-03	5.187280e+00	9.395622e+00
4.380544377169534e-03	5.221775e+00	4.858004e+00
4.381497086428341e-03	5.259883e+00	-1.577485e+00
4.382382310703696e-03	5.295292e+00	-8.158052e+00
4.382879596709684e-03	5.315184e+00	-1.148590e+01
4.383183586965899e-03	5.327343e+00	-1.288598e+01
4.383291113724585e-03	5.331645e+00	-1.307672e+01
4.383358813957918e-03	5.334352e+00	-1.309016e+01
4.383440710858751e-03	5.337628e+00	-1.309853e+01
4.383553446883040e-03	5.342138e+00	-1.310518e+01
4.383814402221463e-03	5.352576e+00	-1.311175e+01
4.499000000400009e-03	9.960000e+00	-1.311523e+01
4.500000000400009e-03	1.000000e+01	-1.311609e+01
4.500000000410008e-03	1.000000e+01	-1.311609e+01
4.500000000494866e-03	1.000000e+01	-1.311609e+01
4.500000000579723e-03	1.000000e+01	-1.311609e+01
4.500000000664580e-03	1.000000e+01	-1.311609e+01
4.500000000749437e-03	1.000000e+01	-1.311609e+01
4.500000000834294e-03	1.000000e+01	-1.311609e+01
4.500000000919151e-03	1.000000e+01	-1.311609e+01
4.500000001004008e-03	1.000000e+01	-1.311609e+01
4.500000150727241e-03	9.999994e+00	-1.311600e+01
4.500000300450474e-03	9.999988e+00	-1.311592e+01
4.500000450173707e-03	9.999982e+00	-1.311584e+01
4.500000599896941e-03	9.999976e+00	-1.311578e+01
4.500000749620174e-03	9.999970e+00	-1.311572e+01
4.500000899343407e-03	9.999964e+00	-1.311567e+01
4.500001049066640e-03	9.999958e+00	-1.311564e+01
4.500002097641271e-03	9.999916e+00	-1.311544e+01
4.500004194790535e-03	9.999832e+00	-1.311528e+01
4.500008389089061e-03	9.999664e+00	-1.311522e+01
4.500016777686113e-03	9.999329e+00	-1.311522e+01
4.827073740914778e-03	-3.082950e+00	-1.311522e+01
4.874073740914784e-03	-4.962950e+00	-1.311521e+01
4.877073740914784e-03	-5.082950e+00	-1.310354e+01
4.878073740914785e-03	-5.122950e+00	-1.307068e+01
4.878727603679375e-03	-5.149104e+00	-1.298330e+01
4.879106669376606e-03	-5.164267e+00	-1.274957e+01
4.879382606328128e-03	-5.175304e+00	-1.229252e+01
4.879647823783753e-03	-5.185913e+00	-1.149359e+01
4.880090909493603e-03	-5.203636e+00	-9.492362e+00
4.880693623329723e-03	-5.227745e+00	-5.735342e+00
4.881404168126121e-03	-5.256167e+00	1.334868e-02
4.882404168126121e-03	-5.296167e+00	9.135128e+00
4.882796142298973e-03	-5.311846e+00	1.249460e+01
4.882810138033703e-03	-5.312406e+00	1.257296e+01
4.882838129503163e-03	-5.313525e+00	1.263634e+01
4.882886645884463e-03	-5.315466e+00	1.267163e+01
4.882930071626615e-03	-5.317203e+00	1.267579e+01
4.882977083178314e-03	-5.319083e+00	1.267545e+01
4.999000000500009e-03	-9.960000e+00	1.267545e+01
5.000000000500009e-03	-1.000000e+01	1.267545e+01
5.000100000500009e-03	-9.996000e+00	1.267545e+01
5.000300000500009e-03	-9.988000e+00	1.267545e+01
5.053185714785731e-03	-7.872571e+00	1.267545e+01
5.106071429071451e-03	-5.757143e+00	1.267545e+01
5.158957143357173e-03	-3.641714e+00	1.267545e+01
5.211842857642894e-03	-1.526286e+00	1.267545e+01
5.264728571928615e-03	5.891428e-01	1.267545e+01
5.317614286214337e-03	2.704571e+00	1.267545e+01
5.370500000500058e-03	4.820000e+00	1.267546e+01
5.371357143357200e-03	4.854286e+00	1.267545e+01
5.372214286214344e-03	4.888572e+00	1.267545e+01
5.373071429071487e-03	4.922857e+00	1.267546e+01
5.373928571928629e-03	4.957143e+00	1.267546e+01
5.374785714785772e-03	4.991429e+00	1.267546e+01
5.375642857642916e-03	5.025714e+00	1.267546e+01
5.376500000500059e-03	5.060000e+00	1.267546e+01
5.377500000500059e-03	5.100000e+00	1.267133e+01
5.378347297671847e-03	5.133892e+00	1.250104e+01
5.378776189184485e-03	5.151048e+00	1.205975e+01
5.379217910474978e-03	5.168716e+00	1.107335e+01
5.379681995110970e-03	5.187280e+00	9.395622e+00
5.380544377269536e-03	5.221775e+00	4.858004e+00
5.381497086528345e-03	5.259883e+00	-1.577485e+00
5.382382310803700e-03	5.295292e+00	-8.158052e+00
5.382879596809689e-03	5.315184e+00	-1.148590e+01
5.383183587065903e-03	5.327343e+00	-1.288598e+01
5.383291113824590e-03	5.331645e+00	-1.307672e+01
5.383358814057921e-03	5.334352e+00	-1.309016e+01
5.383440710958754e-03	5.337628e+00	-1.309853e+01
5.383553446983044e-03	5.342138e+00	-1.310518e+01
5.383814402321467e-03	5.352576e+00	-1.311175e+01
5.499000000500011e-03	9.960000e+00	-1.311523e+01
5.500000000500011e-03	1.000000e+01	-1.311609e+01
5.500000000510011e-03	1.000000e+01	-1.311609e+01
5.500000000594868e-03	1.000000e+01	-1.311609e+01
5.500000000679725e-03	1.000000e+01	-1.311609e+01
5.500000000764583e-03	1.000000e+01	-1.311609e+01
5.500000000849439e-03	1.000000e+01	-1.311609e+01
5.500000000934297e-03	1.000000e+01	-1.311609e+01
5.500000001019153e-03	1.000000e+01	-1.311609e+01
5.500000001104011e-03	1.000000e+01	-1.311609e+01
5.500000150827244e-03	9.999994e+00	-1.311600e+01
5.500000300550477e-03	9.999988e+00	-1.311592e+01
5.500000450273709e-03	9.999982e+00	-1.311584e+01
5.500000599996943e-03	9.999976e+00	-1.311578e+01
5.500000749720176e-03	9.999970e+00	-1.311572e+01
5.500000899443409e-03	9.999964e+00	-1.311567e+01
5.500001049166642e-03	9.999958e+00	-1.311564e+01
5.500002097741274e-03	9.999916e+00	-1.311544e+01
5.500004194890537e-03	9.999832e+00	-1.311528e+01
5.500008389189064e-03	9.999664e+00	-1.311522e+01
